user_id,device,user_type,country,traffic_source,time_on _site,n_pages_visited,added,bought
10001,Desktop,New,United Kingdom,Search,113,2,No,No
10002,Mobile,Returning,Other,Discovery,182,1,No,No
10003,Desktop,Returning,Germany,Discovery,50,2,No,No
10004,Desktop,Returning,Other,Search,159,0,No,No
10005,Desktop,New,Netherlands,Search,119,8,No,No
10006,Mobile,Returning,United Kingdom,Direct,6,5,No,No
10007,Mobile,New,Netherlands,Direct,39,0,No,No
10008,Desktop,Returning,Germany,Search,3,5,Yes,No
10009,Desktop,Returning,United Kingdom,Search,153,0,No,No
10010,Mobile,Returning,Netherlands,Direct,582,3,No,No
10011,Desktop,Returning,Netherlands,Discovery,2,4,No,No
10012,Mobile,Returning,Germany,Direct,280,0,No,No
10013,Mobile,Returning,Netherlands,Search,340,1,No,No
10014,Desktop,Returning,United Kingdom,Direct,46,2,No,No
10015,Mobile,New,United Kingdom,Direct,71,1,No,No
10016,Desktop,Returning,Other,Search,12,0,No,No
10017,Desktop,Returning,France,Discovery,150,2,No,No
10018,Desktop,New,United Kingdom,Search,186,0,No,No
10019,Desktop,Returning,Other,Direct,271,7,No,No
10020,Mobile,Returning,Germany,Discovery,67,1,No,No
10021,Desktop,Returning,France,Discovery,591,0,No,No
10022,Desktop,Returning,France,Search,248,6,Yes,No
10023,Desktop,Returning,Netherlands,Direct,340,3,No,No
10024,Mobile,Returning,United Kingdom,Direct,431,1,No,No
10025,Mobile,New,Netherlands,Discovery,14,0,No,No
10026,Desktop,Returning,France,Direct,370,1,No,No
10027,Desktop,Returning,Other,Direct,33,0,No,No
10028,Desktop,Returning,France,Search,429,2,No,No
10029,Desktop,Returning,Germany,Direct,351,1,No,No
10030,Mobile,Returning,Germany,Discovery,340,0,No,No
10031,Mobile,Returning,Other,Direct,6,1,No,No
10032,Desktop,New,United Kingdom,Search,42,1,No,No
10033,Mobile,Returning,Germany,Direct,44,0,No,No
10034,Desktop,New,Other,Direct,102,1,No,No
10035,Desktop,New,United Kingdom,Discovery,3,0,No,No
10036,Desktop,Returning,France,Direct,195,1,No,No
10037,Mobile,Returning,United Kingdom,Search,133,6,No,No
10038,Desktop,Returning,United Kingdom,Discovery,403,3,Yes,No
10039,Desktop,Returning,Germany,Direct,148,4,No,No
10040,Desktop,Returning,Netherlands,Search,76,1,No,No
10041,Desktop,New,United Kingdom,Discovery,74,1,No,No
10042,Desktop,Returning,Netherlands,Search,502,2,No,No
10043,Mobile,New,United Kingdom,Direct,11,5,No,No
10044,Desktop,Returning,Netherlands,Direct,23,6,No,No
10045,Mobile,Returning,France,Direct,63,0,No,No
10046,Desktop,Returning,United Kingdom,Direct,48,4,No,No
10047,Desktop,Returning,United Kingdom,Direct,625,1,No,No
10048,Desktop,New,Other,Discovery,40,0,No,No
10049,Desktop,Returning,Germany,Direct,133,2,No,No
10050,Mobile,Returning,United Kingdom,Search,138,0,No,No
10051,Desktop,Returning,Other,Search,38,0,Yes,Yes
10052,Desktop,Returning,United Kingdom,Discovery,176,2,Yes,Yes
10053,Mobile,Returning,United Kingdom,Discovery,262,5,No,No
10054,Desktop,Returning,France,Search,569,5,No,No
10055,Mobile,Returning,France,Discovery,348,4,No,No
10056,Desktop,Returning,Other,Discovery,9,6,No,No
10057,Desktop,Returning,Netherlands,Search,350,0,No,No
10058,Mobile,New,Germany,Search,171,0,No,No
10059,Mobile,New,Other,Search,280,0,No,No
10060,Mobile,Returning,France,Discovery,32,5,No,No
10061,Desktop,Returning,United Kingdom,Discovery,16,1,Yes,No
10062,Desktop,New,Germany,Direct,32,1,No,No
10063,Mobile,Returning,Other,Discovery,283,2,No,No
10064,Mobile,Returning,United Kingdom,Discovery,281,3,No,No
10065,Desktop,New,Netherlands,Search,7,2,No,No
10066,Desktop,New,Germany,Discovery,25,3,No,No
10067,Mobile,Returning,Other,Search,266,4,No,No
10068,Desktop,Returning,United Kingdom,Discovery,8,5,Yes,No
10069,Desktop,Returning,France,Search,22,5,No,No
10070,Desktop,New,Netherlands,Search,305,0,No,No
10071,Mobile,Returning,Netherlands,Direct,58,0,No,No
10072,Mobile,New,United Kingdom,Direct,435,4,No,No
10073,Mobile,Returning,United Kingdom,Direct,475,3,No,No
10074,Desktop,Returning,France,Discovery,92,0,No,No
10075,Desktop,Returning,United Kingdom,Discovery,0,2,No,No
10076,Desktop,Returning,United Kingdom,Direct,59,3,No,No
10077,Desktop,Returning,United Kingdom,Direct,112,3,No,No
10078,Desktop,Returning,France,Search,92,0,Yes,No
10079,Desktop,Returning,Germany,Direct,414,4,No,No
10080,Mobile,Returning,Germany,Direct,27,1,No,No
10081,Mobile,Returning,United Kingdom,Direct,66,1,No,No
10082,Desktop,Returning,France,Search,46,1,No,No
10083,Mobile,Returning,Other,Discovery,247,7,No,No
10084,Desktop,Returning,United Kingdom,Discovery,71,2,No,No
10085,Desktop,Returning,United Kingdom,Discovery,144,3,Yes,Yes
10086,Desktop,New,France,Direct,83,5,No,No
10087,Desktop,Returning,Netherlands,Search,13,1,No,No
10088,Desktop,Returning,Germany,Direct,57,0,No,No
10089,Desktop,Returning,Germany,Direct,455,5,No,No
10090,Desktop,Returning,France,Search,414,7,Yes,Yes
10091,Desktop,Returning,Germany,Direct,61,3,No,No
10092,Desktop,Returning,Netherlands,Discovery,98,4,No,No
10093,Mobile,Returning,Netherlands,Direct,207,2,No,No
10094,Mobile,Returning,United Kingdom,Search,124,0,No,No
10095,Desktop,Returning,Netherlands,Search,153,1,No,No
10096,Desktop,Returning,France,Discovery,43,4,Yes,No
10097,Mobile,Returning,Netherlands,Discovery,307,0,No,No
10098,Desktop,Returning,France,Search,36,0,No,No
10099,Mobile,Returning,France,Search,172,0,No,No
10100,Desktop,Returning,Other,Direct,29,10,No,No
10101,Desktop,Returning,Other,Discovery,381,1,No,No
10102,Desktop,Returning,Netherlands,Search,305,3,Yes,No
10103,Desktop,Returning,France,Direct,335,2,No,No
10104,Desktop,Returning,Netherlands,Discovery,26,5,Yes,No
10105,Desktop,Returning,Other,Direct,69,1,No,No
10106,Mobile,New,Other,Search,220,4,No,No
10107,Mobile,Returning,Other,Direct,139,0,No,No
10108,Desktop,Returning,United Kingdom,Discovery,21,1,Yes,No
10109,Desktop,Returning,Netherlands,Discovery,206,1,No,No
10110,Desktop,Returning,France,Direct,275,2,No,No
10111,Mobile,Returning,Germany,Search,47,1,No,No
10112,Desktop,Returning,Germany,Search,363,3,No,No
10113,Desktop,Returning,Germany,Search,263,1,No,No
10114,Desktop,New,Germany,Search,0,1,No,No
10115,Desktop,Returning,United Kingdom,Discovery,31,3,No,No
10116,Mobile,Returning,France,Discovery,49,6,No,No
10117,Desktop,Returning,Germany,Search,20,7,No,No
10118,Mobile,Returning,Netherlands,Discovery,164,1,No,No
10119,Desktop,New,France,Search,25,1,No,No
10120,Desktop,Returning,Germany,Direct,49,5,No,No
10121,Desktop,Returning,Germany,Discovery,196,3,No,No
10122,Mobile,Returning,Netherlands,Search,445,1,No,No
10123,Desktop,Returning,Other,Discovery,16,0,No,No
10124,Desktop,New,United Kingdom,Discovery,265,4,No,No
10125,Desktop,New,United Kingdom,Discovery,12,0,No,No
10126,Mobile,Returning,Netherlands,Direct,11,0,No,No
10127,Desktop,Returning,Netherlands,Search,147,2,No,No
10128,Desktop,Returning,Other,Discovery,211,2,Yes,No
10129,Desktop,Returning,Other,Search,351,2,No,No
10130,Mobile,New,France,Discovery,203,0,No,No
10131,Desktop,New,Other,Direct,57,1,No,No
10132,Mobile,Returning,Netherlands,Search,58,0,No,No
10133,Mobile,New,Germany,Search,461,1,No,No
10134,Desktop,Returning,Other,Search,306,0,Yes,No
10135,Desktop,Returning,Netherlands,Search,48,6,No,No
10136,Mobile,Returning,Other,Search,104,4,No,No
10137,Desktop,Returning,France,Discovery,10,2,No,No
10138,Mobile,Returning,United Kingdom,Search,255,0,No,No
10139,Desktop,Returning,Other,Direct,13,9,No,No
10140,Mobile,Returning,Germany,Search,51,0,No,No
10141,Desktop,Returning,United Kingdom,Direct,169,1,No,No
10142,Desktop,New,Other,Discovery,6,2,No,No
10143,Desktop,Returning,Other,Search,122,0,Yes,No
10144,Desktop,Returning,Other,Direct,340,1,No,No
10145,Desktop,Returning,Other,Search,246,0,No,No
10146,Mobile,Returning,Other,Direct,461,2,No,No
10147,Desktop,Returning,Germany,Discovery,137,1,No,No
10148,Mobile,Returning,Germany,Search,108,8,No,No
10149,Desktop,Returning,United Kingdom,Discovery,105,4,No,No
10150,Desktop,Returning,Germany,Search,507,0,No,No
10151,Desktop,Returning,United Kingdom,Search,64,2,Yes,No
10152,Mobile,Returning,Germany,Discovery,85,2,No,No
10153,Mobile,New,Netherlands,Discovery,31,5,No,No
10154,Desktop,Returning,Other,Direct,445,3,No,No
10155,Desktop,Returning,Germany,Search,28,3,No,No
10156,Desktop,Returning,Netherlands,Discovery,362,1,Yes,No
10157,Desktop,Returning,Netherlands,Discovery,71,2,No,No
10158,Mobile,Returning,Other,Search,36,1,No,No
10159,Desktop,Returning,Other,Discovery,290,0,Yes,No
10160,Desktop,Returning,France,Direct,478,1,No,No
10161,Mobile,Returning,Germany,Direct,540,3,No,No
10162,Desktop,New,United Kingdom,Search,13,0,No,No
10163,Desktop,Returning,France,Discovery,44,4,Yes,No
10164,Desktop,Returning,Other,Search,475,0,No,No
10165,Mobile,New,Other,Direct,586,1,No,No
10166,Desktop,Returning,Netherlands,Search,129,4,No,No
10167,Desktop,Returning,Germany,Discovery,38,0,Yes,No
10168,Desktop,Returning,France,Search,277,2,No,No
10169,Mobile,New,Germany,Direct,218,1,No,No
10170,Desktop,Returning,France,Search,297,2,No,No
10171,Mobile,Returning,France,Search,52,2,No,No
10172,Desktop,Returning,Netherlands,Discovery,205,1,No,No
10173,Desktop,New,Other,Direct,146,8,No,No
10174,Desktop,New,United Kingdom,Direct,344,1,No,No
10175,Desktop,Returning,Germany,Discovery,150,1,Yes,No
10176,Mobile,New,Germany,Search,112,1,No,No
10177,Desktop,Returning,Netherlands,Direct,74,7,No,No
10178,Desktop,Returning,Other,Direct,65,1,No,No
10179,Mobile,Returning,United Kingdom,Direct,366,3,No,No
10180,Desktop,Returning,United Kingdom,Search,5,3,Yes,Yes
10181,Mobile,Returning,United Kingdom,Discovery,66,0,No,No
10182,Desktop,Returning,Other,Direct,523,2,No,No
10183,Desktop,New,United Kingdom,Discovery,31,0,No,No
10184,Desktop,New,France,Search,394,1,No,No
10185,Mobile,Returning,France,Discovery,171,0,No,No
10186,Desktop,Returning,France,Search,190,1,No,No
10187,Desktop,Returning,France,Direct,252,2,No,No
10188,Desktop,Returning,Netherlands,Discovery,557,0,No,No
10189,Desktop,Returning,Germany,Search,28,0,No,No
10190,Desktop,Returning,United Kingdom,Discovery,253,4,Yes,Yes
10191,Desktop,Returning,France,Discovery,295,0,No,No
10192,Desktop,Returning,Other,Discovery,367,7,No,No
10193,Desktop,Returning,Germany,Direct,191,2,No,No
10194,Desktop,Returning,Other,Direct,24,5,No,No
10195,Desktop,Returning,France,Discovery,79,2,No,No
10196,Mobile,New,Other,Discovery,72,1,No,No
10197,Desktop,Returning,Germany,Direct,339,5,No,No
10198,Desktop,Returning,Netherlands,Search,486,0,Yes,Yes
10199,Desktop,Returning,Other,Search,653,3,Yes,No
10200,Mobile,Returning,Other,Search,119,6,No,No
10201,Desktop,Returning,France,Direct,77,0,No,No
10202,Mobile,New,France,Search,172,2,No,No
10203,Desktop,Returning,France,Search,12,0,Yes,No
10204,Mobile,New,Germany,Discovery,358,3,No,No
10205,Mobile,Returning,United Kingdom,Search,56,0,No,No
10206,Desktop,New,United Kingdom,Search,365,5,No,No
10207,Mobile,Returning,Other,Search,126,6,No,No
10208,Mobile,Returning,Other,Direct,523,3,No,No
10209,Mobile,Returning,Germany,Direct,112,8,No,No
10210,Mobile,Returning,United Kingdom,Direct,432,6,No,No
10211,Desktop,Returning,Netherlands,Discovery,11,4,No,No
10212,Desktop,Returning,Other,Search,92,7,No,No
10213,Mobile,Returning,Germany,Discovery,147,8,No,No
10214,Mobile,Returning,Other,Search,231,4,No,No
10215,Mobile,Returning,Netherlands,Discovery,252,1,No,No
